Hellenization of Anceint Thrace: přehled počtu záznamů dle jednotlivých druhů záznamů,,
Druh záznamu v databázi,Popis,Počet záznamů
Person (epigraphic),Osoba vystupující na nápise,5464
Inscription Info,Základní informace o nápise,4665
Personal name,Osobní jméno,3956
Location data,"Záznamy o lokalitě, místě nálezu nápisu",678
Epithet,Božské přízvisko,233
Collective Group name,Vyjádření kolektivní identity,178
Religious keywords,Hledaný termín s náboženskou tematikou,137
Geographic name,Zeměpisné jméno,134
Administrative keywords,Hledaný termín spojený s organizací společnosti,112
Formulaic keywords,Typické epigrafické formule,49
Honorific keywords,Hledaný termín se zaměřením na udílení poct,37
Person (modern author),Autor záznamu,3
