Položka v HAT databázi,Popis,Hodnoty,Datový typ,Formát při exportu
Heurist ID,Automaticky vytvořené identifikační číslo záznamu,,Číselná hodnota,Číslovka
Creator of the record,Tvůrce záznamu v databázi,,Text,Text
Checked,Záznam zkontrolován administrátorem,Yes; No; Blank,Předvolené hodnoty,Text
IDENTIFICATION section,"Základní identifikace nápisu dle korpusu, v němž byl nápis vydán",,,
Corpus Name,Jméno epigrafického korpusu,"I Aeg Thrace; IG Bulg 1; IG Bulg 2; IG Bulg 3,1; IG Bulg 3,2; IG Bulg 4; IG Bulg 5; IK Byzantion; IK Sestos; Other; Perinthos-Herakleia",Předvolené hodnoty,Text
Corpus ID Number,Identifikační číslo dle epigrafického korpusu,,Text,Text
Corpus ID Numeric,HAT identifikační číslo; každý korpus má daný specifický rozsah čísel,,Číselná hodnota,Číslovka
SEG Number,Identifikační číslo dle SEG,,Text,Text
GEOGRAPHY section,Informace o místě náezu nápisu získané z korpusu,,,
Location,"Moderní a antické jméno lokality, a region antického sídla, v nemž byl nápis nalezen ",Modern location; Ancient site; Ancient site - region,Text,Text
Geolocation,Zeměpisné koordináty místa nálezu,Latitude; Longitude; projekce WGS 84,Koordináty,Koordináty
Position certainty,Koeficient přesnosti místa nálezu,1 Certain; 2 Vicinity; 3 Region; 4 Uncertain,Předvolené hodnoty,Text
Geography Notes,Poznámky k umístění nápisu,,Text,Text
Reuse,Sekundární použití nápisu,Yes; No; Blank,Předvolené hodnoty,Text
Archaeological Context,Známý archeologický kontext,Commercial; Funerary; Habitation; Other; Religious/Ritual; Secondary ,Předvolené hodnoty,Text
Mound,"Nápis je možné připsat konkrétní mohyle, byl nalezen v její blízkosti či na mohyle",Yes; No; Blank,Předvolené hodnoty,Text
OBJECT METADATA section,Informace o nosiči nápisu získané z korpusu,,,
Material Category,"Druh materiálu, z nějž byl předmět vyroben",Metal; Other; Perishable; Pottery; Stone,Předvolené hodnoty,Text
Stone,Druh kamene,Limestone; Marble; Other,Předvolené hodnoty,Text
Origin of Stone,Původ kamene,,Text,Text
Object Category,Druh předmětu,Architectural Feature; Mosaic; Other; Sculpture; Stele; Vessel; Wall,Předvolené hodnoty,Text
Preservation,"Stupeň dochování, odhadovaný od původní podoby předmětu",1 Intact (100%); 2 Slightly Damaged (75%); 3 Heavily Damaged (50%); 4 Almost Destroyed (25%); 5 Squeeze; 6 Drawing; 7 Lost; 8 Underterminable,Předvolené hodnoty,Text
Decoration,Druh použité dekorativní techniky,Relief; Painted; Other; N/A,Předvolené hodnoty,Text
Relief Decoration,Druh reliéfní dekorace předmětu,Architectural/Ornamental; Figural; Other,Předvolené hodnoty,Text
Architectural Relief,Druh architektonické dekorace předmětu,"Altar; Architectural Moulding; Base; Column, Crown; Floral Motive; Geometric Motive; Naiskos, Other",Předvolené hodnoty,Text
Figural Relief,Druh figurální dekorace předmětu,"Animal; Artemis-like; Asclepius; Crowning; Fight/Hunt/Athletes; Funerary Portrait; Group of People;  Heracles; Horse Rider; Sacrifice; Sitting Woman; Standing Zeus/Poseidon; Funerary Scene/Symposion; Three Nymphs; Other, Dionysus; Nemesis; Sitting Man; Statue; Zeus and Hera; Standing Person",Předvolené hodnoty,Text
Decoration Notes,Poznámky k dekoraci,,Text,Text
Visual Record Availability,Dostupnost vizuálního materiálu ,Yes; No; Blank,Předvolené hodnoty,Text
TEXTUAL METADATA section,Interpretace založené na základě obsahu a formátu nápisu,,,
Start Year (StartYR),Počáteční rok nejzazší datace editora korpousu; terminus post quem; mínusové hodnoty znamenají rok př. n. l.; plusové hodnoty rok n. l.,,Číselná hodnota,Číslovka
End Year (EndYR),Konečný rok nejzazší datace editora korpusu; terminus ante quem; mínusové hodnoty znamenají rok př. n. l.; plusové hodnoty rok n. l.,,Číselná hodnota,Číslovka
Relative Date,"Relativní datace dle výskytu osobních jmen, ligatur, a tvaru písmen; interpretace na základě textu a vizuálního materiálu",Not Roman; Roman,Předvolené hodnoty,Text
Century,"Výčet všech století, do nichž byl nápis datován editorem korpusu",,Číselná hodnota,Číslovka
Dialect,Dialekt; interpretace na základě textu,Aeolic; Doric; Immitation; Ionic-Attic; Other,Předvolené hodnoty,Text
Latin,Přítomnost latiny v textu nápisu,Yes; No,Předvolené hodnoty,Text
Language Form,Forma použitého jazyka; interpretace na základě textu,Prose; Verse; Undistinguishable,Předvolené hodnoty,Text
Script,Druh použitého písma; interpretace na základě vizuálního materiálu,Attic; Euboean; Thasos/Paros; Roman Style; Graffiti,Předvolené hodnoty,Text
