Heurist ID,Hledaný administrativní termín,Typ,Původ,Krátký popis
2302,Agon,Související s kulturou,Řecký,"závod, soutěžní klání"
1805,Agora,Jméno místa,Řecký,"tržiště, místo ve městě vyhrazené obchodování a veřejnému setkávání"
2606,Agoraios,Související s funkcí zastupitele,Řecký,"notář, obhájce, související s agorou, navštěvující agoru"
1808,Agoranomos,Související s funkcí zastupitele,Řecký,dohlížitel na agoře
1809,Aisymnetes,Související s funkcí zastupitele,Řecký,sudí při atletickém klání
14125,Akropolis,Jméno místa,Řecký,citadela
1810,Analoma,Finanční,Řecký,finanční náklady
10983,Anthypatos,Související s funkcí zastupitele,Řecký,"adjektivum nejčastěji spojené s funkcí prokonzula, legáta"
7181,Antistrategos,Vojenství,Římský,"zastupující velitel, či guvernér provincie s hodností pro praetore"
2895,Apeleutheros,Společenské postavení,Řecký,propuštěnec
1811,Arche,Instituce,Řecký,"vláda, moc, říše"
4719,"Archein,Arxantes",Instituce,Řecký,"sloveso vládnout, mít moc, případně začínat"
3540,Archiatros,Specifické povolání,Řecký,hlavní lékař
1806,Archon,Související s funkcí zastupitele,Řecký,"guvernér, úředník, zastupitel"
2301,Argyrotamias,Související s funkcí zastupitele,Řecký,pokladník
7979,Astoi,Společenské postavení,Řecký,obyvatel města
1814,Asty,Jméno místa,Řecký,území města
1807,Astynomos,Související s funkcí zastupitele,Řecký,dohlížitel vě městě
2645,Autokrator,Vojenství,Řecký,"vojenský velitel, později titul užívaný pro římského císaře"
1815,Basileia,Instituce,Řecký,"království, vláda"
1816,Basileus,Související s funkcí zastupitele,Řecký,"král, panovník, představený politické autority"
1817,Boule,Instituce,Řecký,"rada občanů v řecké polis, městské zastupitelstvo"
1818,Bouleutai,Související s funkcí zastupitele,Řecký,členové rady města
1819,Bouleuterion,Jméno místa,Řecký,budova rady města
2663,Bouleutes,Související s funkcí zastupitele,Řecký,člen sněmu
1836,Chora,Jméno místa,Řecký,"území řecké polis, mimo území města, venkovské oblasti v teritoriu řecké polis"
13879,Choregia,Související s funkcí zastupitele,Řecký,"druh liturgie, občanské povinnosti, povinnost platit a organizovat sbor herců při dramatických představeních"
2336,Chremata,Finanční,Řecký,peníze
1821,Demos,Instituce,Řecký,"lid, představitelé řecké polis"
8893,Dike,Instituce,Řecký,"právo, soud"
6687,Dogma,Instituce,Řecký,usnesení
2170,Doulos,Společenské postavení,Řecký,otrok
2599,Efebarchos,Související s funkcí zastupitele,Řecký,dohlížitel nad mladíky
1822,Efebos,Společenské postavení,Řecký,mladík
1823,Ekklesia,Instituce,Řecký,"shromáždění občanů, lidové shromáždění "
2317,Eleutheria,Společenské postavení,Řecký,svoboda
2171,Eleutheros,Společenské postavení,Řecký,"svobodný člověk, propuštěný otrok"
2326,Emporion,Jméno místa,Řecký,osada specializující se na obchod
6218,Enadeus,Související s kulturou,Řecký,člen sboru ?
6189,Epikoinoi,Instituce,Řecký,"společné činnosti, hry"
1824,Episkopos,Související s funkcí zastupitele,Řecký,dohlížitel
6810,Epistole,Související s kulturou,Řecký,"dopis, poselství, psaná zpráva"
12367,Fiskos,Finanční,Římský,daňová povinnost
3168,Fylarchos,Vojenství,Řecký,dohlížitel na jednotky jednotlivých fýl
1826,Fylax,Související s funkcí zastupitele,Řecký,"strážce, dohlížitel"
1827,Fyle,Instituce,Řecký,"rod, v řecké polis vnitřní dělení skupin občanů"
1828,Gerousia,Instituce,Řecký,rada starších v řecké polis
9927,Gerousiastes,Související s funkcí zastupitele,Řecký,člen rady starších
9992,Grafeus,Související s kulturou,Řecký,"písař, úředník"
6809,Grammata,Související s kulturou,Řecký,"písmo, písmena, psaní, dopisy"
1829,Grammateus,Související s funkcí zastupitele,Řecký,"písař, úředník"
1830,Gymnasiarches,Související s funkcí zastupitele,Řecký,představený gymnasia
1831,Gymnasion,Jméno místa,Řecký,"veřejný prostor, v němž se mužští občané setkávali a společně trénovali, místo setkávání, místo výuky"
