Heurist ID,Hledaný honorifikační termín,Typ,Původ,Krátký popis
1973,Agathos aner,Důvody pro udělení,Řecký,osobní kvality oceněného muže
2631,"Aleitourgos, Aneisforos",Pocty,Řecký,bez povinnosti placení určitého druhu daní
6710,Andrias,Vystavení,Řecký,socha
2331,Arete,Důvody pro udělení,Řecký,osobní kvality
1977,Asylia,Pocty,Řecký,"ochrana oceněného muže, nepostižitelnost"
1978,Ateleia,Pocty,Řecký,vyjmutí z povinnosti platit daně
2322,Efodos,Pocty,Řecký,právo volného vstupu do městské rady a do jiných institucí
6254,Eikon,Vystavení,Řecký,socha
1981,Eisagoge and exagoge,Pocty,Řecký,právo volného obchodování
1982,Eisplous and ekplous,Pocty,Řecký,právo volného přístupu do přístavu
1980,Ekona stesai,Pocty,Řecký,pocta zahrnující vystavení sochy
1983,Enktesis,Pocty,Řecký,právo umožňující vlastnictví půdy
2310,Epainesai,Jiný,Řecký,"sloveso velebit, chvílit, vyznamenat"
1984,Epainos,Jiný,Řecký,chvála
2316,Euergesia,Důvody pro udělení,Řecký,dobrodinní
1987,Euergetes,Důvody pro udělení,Řecký,člověk vykonávající dobrodinní
2311,Eunoia,Důvody pro udělení,Řecký,dobrá vůle
1988,Eunous,Důvody pro udělení,Řecký,člověk s dobrou vůlí
2327,Exagoge sitou,Pocty,Řecký,právo na stravování na náklady obce
1990,Filotimia,Důvody pro udělení,Řecký,"touha po poctách, ctižádost"
3000,Filotimos,Důvody pro udělení,Řecký,ctižádostivý
1993,Isoteleia,Pocty,Řecký,právo platit stejné daně jako plnoprávný občan
2308,Kalos kai agathos,Důvody pro udělení,Řecký,"typická formule vyzdvihující kladný charakter osobnosti, krásný a dobrý člověk"
9600,Panegyris,Vystavení,Řecký,"slavnost, setkání"
15941,Politeia,Pocty,Řecký,udělení občaství
1995,Prodikia,Pocty,Řecký,právo na přednostní soudní řízení
1996,Proedria,Pocty,Řecký,"právo na místa vpředních řadách při veřejných setkáních, hrách a slavnostech"
2427,Pronoia,Důvody pro udělení,Řecký,dobrá vůle
1998,Prosodos pros ten boulen/demon/polin,Pocty,Řecký,volný vstup na setkání občanů obce
1999,Prothymos,Důvody pro udělení,Řecký,přátelsky nakloněný
2000,Proxenia,Důvody pro udělení,Řecký,instituce hostinného přátelství
2001,Proxenos,Důvody pro udělení,Řecký,hostinný přítel
11989,Soter,Důvody pro udělení,Řecký,zachránce
2003,Stefanos,Vystavení,Řecký,"věnec, koruna"
2004,Stefanosai,Vystavení,Řecký,"sloveso korunovat, vložit na hlavu věnec"
2321,Time,Jiný,Řecký,pocta
11899,Timein,Jiný,Řecký,"sloveso poctít, ctít"
