Heurist ID,Hledaná epigrafická formule,Typ,Původ,Krátký popis
1902,Agalma,Vystavení nápisů,Řecký,socha
1903,Agathe tyche,Invokační formule,Řecký,epigrafická formule přející zdar a štěstí
1904,Anagrapsai,Vystavení nápisů,Řecký,vytvoření nápisu
8743,Anatheinai,Věnování,Řecký,"sloveso věnování, dedikace"
1905,Anathema,Vystavení nápisů,Řecký,"votivní dar, socha"
3446,Anestesen,Vystavení nápisů,Řecký,sloveso vztyčení nápisu
1907,Anetheken,Věnování,Řecký,"sloveso věnování, dedikace v minulosti"
1919,Chaire,Invokační formule,Řecký,pozdrav v singuláru
1920,Chairete,Invokační formule,Řecký,pozdrav v plurálu
2592,Chalkoma,Vystavení nápisů,Řecký,kovová destička
1921,Charin,Funerální,Řecký,"pro, kvůli, díky"
1922,Charisterion,Věnování,Řecký,vyjádření díků
9141,Choma,Vystavení nápisů,Řecký,mohyla
9274,Chomatikon,Vystavení nápisů,Řecký,mohylka
1908,Dedochthai,Chod isntituce,Řecký,"formule z usnesení, XX rozhodl ..."
2894,Dis Manibus,Funerální,Římský,
1909,Doron,Věnování,Řecký,dar
1910,Edoxen,Chod isntituce,Řecký,"formule z usnesení, XX rozhodl ..."
8345,"Egrafe,Egrapsen",Chod isntituce,Řecký,"sloveso sepsání, navržení usnesení"
1912,Eis stelen lithinen,Vystavení nápisů,Řecký,na kamennou stélu
1914,Ektisen,Vystavení nápisů,Řecký,postavit
2694,Epegrapsen,Vystavení nápisů,Řecký,nesoucí nápis
9387,Epoiei,Jiný,Řecký,"vytvořil, označení autorství"
1916,Epoiesen,Jiný,Řecký,"vytvořil, označení autorství"
4879,Etheke,Věnování,Řecký,"věnoval, označení dedikanta"
1917,Eucharisterion,Věnování,Řecký,formula věnování
2351,Euchen,Věnování,Řecký,"modlitba, přání, slib"
9843,Eutychos,Jiný,Řecký,"šťastný, přání štěstí"
1924,Kateskeuasen,Jiný,Řecký,"zhotovil, nechal zhotovit"
1925,Keimai,Funerální,Řecký,odpočívá zde XX
7038,Kion,Vystavení nápisů,Řecký,sloup
1926,Larnax,Vystavení nápisů,Řecký,sarkofág
3441,Mneias,Funerální,Řecký,památka
1927,"Mnema,Mneme",Funerální,Řecký,"památka, upomínka"
1928,Mnemeion,Funerální,Řecký,"památka, malá upomínka"
8347,Mnemosyne,Funerální,Řecký,"památka, paměť"
1930,"Parodita,Parodeita",Invokační formule,Řecký,okolo jdoucí
1931,Psefizomai,Chod isntituce,Řecký,"schválit, odhlasovat, rozhodnout"
1932,Sema,Funerální,Řecký,"náhrobní kámen, označení místa pohřbu"
1933,Stele,Vystavení nápisů,Řecký,stéla
9264,Steleida,Vystavení nápisů,Řecký,malá stéla
1934,Stesai,Vystavení nápisů,Řecký,"postavit, vystavit"
1913,Telamon,Vystavení nápisů,Řecký,stéla
1935,Theke,Vystavení nápisů,Řecký,sarkofág
1936,Theoi,Invokační formule,Řecký,božstva
1937,Theois Katachthoniois,Funerální,Řecký,věnování podsvětním božstvům
8351,Tumulus,Vystavení nápisů,Řecký,"mohyla, tumulus"
7978,Tymbeuein,Funerální,Řecký,pohřbít
7974,Tymbos,Funerální,Řecký,"hrob, mohyla"
