Heurist ID,Epitheton (podoba v databázi),Krátký popis,Typ
10541,Adrasteia, nejčastěji spojováno s Nemesis,Subregionální
11219,Aenaos,"spojováno s Nymfami, věčně trvající",Regionální
4034,Agoraios," ochránce veřejných shromáždění, ochránce pocestných",Regionální
16538,Ainios,pocházející z Ainu,Regionální
14240,Aithrios,spojováno s Diem,Regionální
13161,Alousades,místní božstvo,Subregionální
9050,Amazon,spojováno s Artemidou,Regionální
14004,Anaios,místní božstvo,Subregionální
8002,Anchialos,"z Anchiálu, spojováno s Nymfami",Subregionální
8013,Aniketos (aneiketos),neporazitelný,Regionální
8156,Anthienos,spojováno s Apollónem,Subregionální
10919,Aphosikakos,odvracející zlo,Regionální
14212,Archagetas,kult předků z Sélymbrie,Subregionální
6836,Arselenos,spojováno se Sabaziem,Unknown
8662,Artakene,spojováno s Hérou,Subregionální
6979,Arzenos,místní božstvo,Subregionální
11513,Asdoulos,místní božstvo,Subregionální
9032,Athyparenos,spojováno se Sabaziem,Subregionální
6974,Aularchenos,místní božstvo,Subregionální
11555,Aulariokos,místní božstvo,Subregionální
6549,Aularkenos,místní božstvo z Mesámbrie,Subregionální
13149,Aulousadenos,místní božstvo,Subregionální
13810,Basilissa,spojováno s Hygieí,Subregionální
9723,Baskidithios,místní božstvo,Subregionální
16095,Beeuchios,místní božstvo,Subregionální
10486,Beisaletenos,spojováno s Hérakleem v regionu Pautálie,Subregionální
8257,Birou[?],místní božstvo,Subregionální
8530,Blekouros,místní božstvo,Subregionální
7398,Borkeithios,místní božstvo,Subregionální
11983,Boulaios,spojováno s institucí rady,Regionální
10313,Bourdapenos,kult Nymf z Búrdapy,Subregionální
10475,Byaiparene,spojováno s Hérou v regionu Pautálie,Subregionální
11660,Chryseochaites,spojováno s Asklépiem,Regionální
8099,Chthonios,chthonické božstvo,Regionální
7510,Dabatopienos,spojováno s Héfaistem,Subregionální
13500,Daiterenos,spojováno s Apollónem,Subregionální
16663,Derzis,místní božstvo,Subregionální
13809,Despoina,ženské božstvo,Regionální
6697,Dimeranos,spojováno s Diem,Regionální
14337,Dionysobolos,házející oštěp,Unknown
4050,Dolichaios,spojováno s Diem,Regionální
6847,Dolichenos,spojováno s Diem,Regionální
13476,Dooupyros,místní božstvo,Subregionální
8269,Dortazenos,"spojováno s Apollónem, místní božstvo",Regionální
10496,Doteira zoes,spojováno s Persefóné,Regionální
13475,Drigesos,místní božstvo,Subregionální
9594,Edeinene ?,spojováno s Hérou,Subregionální
6577,Eisenos,spojováno s Apollónem,Subregionální
6732,Eithia,spojováno s Hérou ?,Subregionální
13786,Elafebolos,epithet of Artemis,Regionální
14209,Eleneites,spojováno s Dionýsem v Sélymbrii,Subregionální
6281,Eleuthereus,spojováno s Dionýsem,Regionální
4037,Eleutherios,spojováno s Diem,Regionální
7211,Emfanestatos,zjevující se mezi lidmi,Regionální
14266,Enaulios,ochránce vnějšího dvora,Regionální
9170,Enyalios,související s Áreem,Regionální
4039,Epekoos,naslouchající božstvo,Regionální
4074,Epenor,místní božstvo ?,Subregionální
4038,Ephorios,hraniční božstvo,Regionální
13224,Epifanes,jasné božstvo,Regionální
16467,Eptaikenthos,spojováno s Apollónem,Subregionální
8313,Estrakenos,spojováno s Apollónem,Subregionální
6531,Eukarpos,spojováno s Dionýsem,Regionální
8481,Geigon Aulousell,místní božstvo,Subregionální
8472,Geikaitienos,místní božstvo,Subregionální
8453,Geikesenos,místní božstvo,Subregionální
8461,Geikethienos,místní božstvo,Subregionální
8312,Geniakos,místní božstvo,Regionální
8318,Genikos,místní božstvo,Regionální
7590,Genous Archegos,"kult předků, božstvo spojené s kolonizací",Regionální
16685,Gesienos,místní božstvo,Subregionální
8465,Gikentienos,místní božstvo,Subregionální
8457,Ginkisenos,místní božstvo,Subregionální
4040,Horios,strážce hranic,Regionální
6260,Hyperdexios,"vítězný, svrchovaný",Regionální
4036,Hypsistos,spojováno s Diem,Regionální
15007,Iatreine,ženský ekvivalent lékaře,Unknown
8049,Iatros,lékař,Regionální
11658,Kallinikos,spojováno s Hérakleem,Regionální
14301,Kallon,spojováno s Dionýsem,Subregionální
6902,Kapetolios,pocházející z Kapitolu,Regionální
13217,Kaprenos,božstvo,Regionální
10567,Karistorenos,spojováno s Diem a Héru poblíž v regionu Pautálie,Subregionální
11967,Karpodoter,božstvo plodnosti,Regionální
7987,Karsenos,spojováno s Apollónem,Subregionální
9234,Karsimiene,spojováno s Hérou,Subregionální
12650,Keiladebenos,místní božstvo,Subregionální
12627,Keiladeenos,místní božstvo,Subregionální
10500,Keilaideouenos,spojováno s Asklépiem,Subregionální
12657,Keilaiskenos,místní božstvo,Subregionální
6568,Kempenos,spojováno s Asklépiem,Subregionální
7955,Kendreisos / Kendrisos,spojováno s Apollónem,Subregionální
6358,Keraunios,spojováno s Apollónem,Regionální
8119,Kermillenos,místní božstvo,Subregionální
4048,Kersenos,místní božstvo,Subregionální
12636,Kiladeenos,místní božstvo,Subregionální
4970,Klaros,spojováno s Apollónem,Regionální
13629,Kled[?]enos,místní božstvo,Unknown
6661,Kolofonios,spojováno s Apollónem,Regionální
14272,Komatikos,ochránce vesnic,Regionální
16561,Konos,spojováno s Diem,Unknown
10280,Kordenos,místní božstvo,Subregionální
7535,Kore,ženské božstvo,Regionální
10482,Kouidos,místní božstvo v regionu Pautálie,Subregionální
9049,Koulkoussenos,místní božstvo,Subregionální
6801,Kyprogeneus,zrozený/á na Kypru,Regionální
8122,Kyrmillenos,místní božstvo,Subregionální
12664,K[eilade]enos,místní božstvo,Subregionální
13354,Lampadeforos,"nesoucí pochodeň, spojováno s Hekaté",Regionální
4245,Lenaios,spojováno s Dionýsem,Regionální
8522,Letoios,spojováno s Apollónem,Regionální
13630,Limenos,ochraňující přístav,Regionální
12114,Lofeites,spojováno s Diem v Perinthu,Regionální
12123,Lykios,spojováno s Apollónem,Regionální
4072,Machaon,místní božstvo,Subregionální
6664,Maloforos,spojováno s Ceres,Regionální
14236,Mamouzene,spojováno s Velkou Matkou,Subregionální
4191,Maron,místní božstvo,Subregionální
4035,Mesopolites,městský kult,Subregionální
9204,Metrikos,mateřský,Regionální
10656,Mytorgenes,spojováno s Dionýsem,Regionální
16547,Nikeforos,spojováno s Athénou,Regionální
13355,Nyktofanes,spojováno s Hekaté,Regionální
4071,Okkonenos,spojováno s Diem,Subregionální
6729,Okonenos,spojováno s Diem,Subregionální
4052,Olympia,spojováno s Hérou,Regionální
4051,Olympios,spojováno s Diem,Regionální
8876,Ouerzelenos,spojováno s Dionýsem,Subregionální
16670,Ouetespios,místní božstvo,Subregionální
7262,Ourania,ženské božstvo,Regionální
8132,Ourdenos,spojováno s Apollónem,Subregionální
16671,Outaspios,místní božstvo,Subregionální
4865,Paianos,"spojováno s Asklépiem, Apollónem a Orfeem",Regionální
4044,Paisoulenos,spojováno s Diem,Subregionální
12926,Pallas,spojováno s Athénou,Regionální
14329,Parabolos,spojováno s Dionýsem,Unknown
7296,Patroos,"kult předků, otcovský",Regionální
4073,Periestos,místní božstvo,Subregionální
11793,Perseiades,spojováno s Hérakleem,Regionální
4041,Podalirios,místní božstvo,Subregionální
4045,Poenos,spojováno s Apollónem,Unknown
6352,Polias,spojováno s Athénou,Regionální
11955,Progonikos,kult předků,Regionální
8321,Propylaios,"ochránce měst, městských bran",Regionální
4875,Pyrmeroulas,místní božstvo,Subregionální
14914,Pythios,spojováno s Apollónem,Regionální
9036,Raniskelenos,spojováno s Apollónem,Subregionální
9999,Rasyperenos,spojováno s Asklépiem,Subregionální
13743,Rhodopeis,místní božstvo,Subregionální
4068,Saldenos,spojováno s Apollónem a Artemidou,Subregionální
4063,Saldobysenos,spojováno s Asklépiem a Artemidou,Subregionální
4062,Saldokelenos,spojováno s Asklépiem,Subregionální
4057,Saldoouissenos,spojováno s Asklépiem,Subregionální
4058,Saldoousenos,spojováno s Asklépiem,Subregionální
4055,Saldooussenos,místní božstvo,Subregionální
4069,Saldoouusenos,spojováno s Asklépiem,Subregionální
4059,Saldouisenos,místní božstvo,Subregionální
4054,Saldousenos,spojováno s Asklépiem,Subregionální
4064,Saldouusenos,spojováno s Asklépiem,Subregionální
13817,Salenos,epithet of local deity,Subregionální
4061,Saltobysenos,místní božstvo,Subregionální
4060,Saltobyssenos,místní božstvo,Subregionální
4056,Saltouusenos,místní božstvo,Subregionální
15902,Saprenos,"místní božstvo, z vesnice Saprisara, CIL VI 2933",Subregionální
6835,Sebazius,jméno božstva,Regionální
16665,Seinoulazies,místní božstvo,Subregionální
13530,Sellenos,spojováno s Áreem,Subregionální
7315,Sgebdenos,místní božstvo,Subregionální
6909,Sikerenos,spojováno s Apollónem,Subregionální
4046,Sirenos,spojováno s Apollónem,Subregionální
10428,Skalpenos,spojováno s Asklépiem v regionu Pautálie,Subregionální
8435,Skarsene,spojováno s Hérou,Subregionální
6742,Skelentene,spojováno s Velkou Matkou,Subregionální
9415,Skodrenos,spojováno s Apollónem,Subregionální
10691,Skokelenos,"spojováno s Diem, Hérou a Afrodíté",Subregionální
10465,Skopei[?],místní božstvo v regionu Pautálie,Subregionální
4065,Soldenos,spojováno s Asklépiem a Hygieí,Subregionální
4070,Soldoboouusenos,místní božstvo,Subregionální
10922,Solenos,místní božstvo,Subregionální
16470,Sonketene,spojováno s Hérou,Subregionální
4042,Soteira,zachrákyně,Regionální
4047,Soter,zachránce,Regionální
8163,Souet[oulenos],místní božstvo,Subregionální
10536,Souitoulenos,místní božstvo v regionu Pautálie,Subregionální
10548,Souketene,spojováno s Hérou,Subregionální
10222,Souregethes,místní božstvo,Subregionální
8523,Spindeenos,místní božstvo,Subregionální
9808,Spinthopyrenos,spojováno s Asklépiem v regionu Pautálie,Subregionální
7393,Staraskenos,spojováno s Apollónem,Subregionální
10231,Sta[?],spojováno s Asklépiem,Unknown
14289,Stomianos,jméno božstva,Regionální
10489,Storenos,spojováno s Diem a Hérou,Subregionální
16669,Stourouleos,místní božstvo,Subregionální
9485,Straminenos,místní božstvo,Subregionální
16688,Stropoulas,místní božstvo,Subregionální
16482,Suidenos,místní božstvo,Subregionální
16466,Syria,božstvo syrského původu,Regionální
11547,Syroteres,místní božstvo,Subregionální
10447,Tadenos,spojováno s Apollónem,Subregionální
8872,Tarsozienos ?,místní božstvo,Subregionální
13541,Teradeenos,místní božstvo,Subregionální
10144,Tiditene,spojováno s Hérou,Subregionální
15564,Tisasenos,místní božstvo,Subregionální
12125,Torontenos,spojováno s Apollónem,Subregionální
16578,Totoithenos,místní božstvo,Subregionální
6733,Tourme,spojováno s Hérou,Subregionální
13357,Trimorfos,božstvo tří podob,Regionální
