Heurist ID,Geografický termín,Typ,Krátký popis,Moderní jméno lokality,Koordináty (WKT formát)
2093,Abdera,Osídlení,město,Avdira,POINT(24.9514602 40.9814734)
7085,Abritus,Osídlení,město,poblíž Razgradu,POINT(26.5417788 43.5239399)
11635,Adramyt(t)ion,Osídlení,neznámé osídlení,,
2699,Aigyptos,Území,stát,Egypt,POINT(31.2085533 30.0863254)
2094,Ainos,Osídlení,město,Enez,POINT(26.084574 40.725024)
11644,Akras,Osídlení,osídlení v Thrákii,,
2059,Anchialos,Osídlení,město,Pomorie,POINT(27.6155704 42.5680485)
2731,Apameia,Osídlení,město,Dinar,POINT(30.1540375 38.0610674)
7625,Apoulia,Území,region v Itálii,Apoulia,POINT(17.1011931 40.7928393)
3421,Apros / Apron,Území,osídlení v Thrákii,,
12856,Argaios,Hora - pohoří,hora,hora v Kappadokii,
9450,Argedauon,Osídlení,město?,,
11634,Arseos,Osídlení,neznámé osídlení,,
12023,Asia,Území,provincie,dnešní Turecko,
9168,Askanie,Osídlení,město,"Iznik, Turecko",POINT(29.719743 40.429524)
13040,Astike,Území,stratégia,,POINT(27.9217529 40.9840449)
2090,Athenai,Osídlení,město,Athény,POINT(23.7293097 37.9837155)
11533,Athioutike (strategia),Území,stratégia,,
3002,Attike,Území,Attika,Attika,POINT(23.8952637 38.0264587)
2062,Augusta Traiana (Beroe),Osídlení,město,Stara Zagora,POINT(25.6344644 42.4257769)
3437,Babylon,Osídlení,město,Babylon,POINT(52.6722336 36.5478455)
3152,Barilon?,Osídlení,vesnice,,
13057,Bathonea,Řeka,řeka,,
7629,Bazopara,Osídlení,thrácká vesnice,"poblíž emporia Pizos, okolí města Stara Zagora",
16641,Belana Praseon,Území,území,,
11532,Bioletike (strategia),Území,stratégia,,
12053,Bithynia,Území,území,Bíthýnia v Malé Asii,
7636,Bousipara,Osídlení,thrácká vesnice,"poblíž emporia Pizos, okolí města Stara Zagora",
2105,Byzantion,Osídlení,město,Istanbul,POINT(28.9783589 41.0082376)
12051,Chartagenne,Osídlení,město,Karthágo,POINT(10.3329494 36.8625853)
2780,Chersonesos,Území,území,dnešní Turecko,
6854,Dakia,Území,provincie,dnešní Rumunsko,
10811,Debelt,Osídlení,město,Debelt,POINT(27.2673627 42.3917743)
2089,Delphi,Osídlení,město,Delfy,POINT(22.4940617 38.4800567)
2065,Dionysopolis,Osídlení,město,Balčik,POINT(28.1617188 43.4269047)
2066,Diospolis,Osídlení,město,,
16088,Discodouraterae,Osídlení,osídlení v Thrákii,Gostilitsa,
8413,Dodoparon,Osídlení,osídlení v Thrákii,poblíž Golyam Manastir,POINT(26.3414383 42.2141841)
16684,Dourostorum,Osídlení,město,Silistra,POINT(27.2671901 44.1147271)
11529,Dresapaike (strategia),Území,stratégia,,
12858,Efesos,Osídlení,město,Efesos,POINT(27.3370743 37.9404069)
10899,Eitrizene,Území,vesnice,,
2701,Eleusis,Osídlení,město,Eleusína poblíž Athén,POINT(23.5412121 38.0422104)
13565,Emporion Thouidai,Osídlení,osídlení v Thrákii,poblíž Slivenu,POINT(26.322813 42.6819937)
16487,Ergiske,Území,území v Thrákii,,
2702,Europa,Území,Evropa,Evropa,
3454,Galatia,Území,území v Malé Asii,dnešní Turecko,
7624,Geloupara,Osídlení,vesnice,"poblíž emporia Pizos, okolí města Stara Zagora",
2164,Hadrianopolis,Osídlení,město,Edirne,POINT(26.5557145 41.6771297)
2162,Haimos,Hora - pohoří,pohoří Haimos,Stara Planina,POINT(25 43.25)
